slug,cmc_rank,volume_24h,percent_change_7d,market_cap,'binance-smart-chain','collectibles-nfts','defi','mineable',circulating/total_supply,price
mdex,3.673469387755102,0.05073915435965579,13.900473796226803,1.2238834288792744,100.0,0.0,100.0,0.0,1.536525696429798,1.2643103291855649
bancor,3.7105751391465676,0.05706922152157908,14.23377048062563,1.2130354116246922,0.0,0.0,100.0,0.0,2.194893571598742,3.7731244873485124
kucoin-token,3.7476808905380334,0.012804523079161422,13.17700432037605,1.2103099534931372,0.0,0.0,0.0,0.0,1.0336456233996258,10.924762245614657
horizen,3.784786641929499,0.08131429551424614,14.382338426642335,1.206466058185486,0.0,0.0,0.0,100.0,2.194893571598742,75.33794630422777
celer-network,3.8218923933209648,0.3721718293040444,10.510810631664702,1.1991550342943136,100.0,0.0,0.0,0.0,1.3129291016356335,0.14497144055524072
0x,3.8589981447124306,0.11826558050279913,13.928424825693002,1.14730679530113,0.0,0.0,100.0,0.0,1.8554185261556244,0.9815135725840487
siacoin,3.9332096474953615,0.060859488514158504,13.97493245040019,1.0879902008242401,0.0,0.0,0.0,100.0,2.194893571598742,0.016082515535897905
raydium,3.9703153988868274,0.2510591250365143,14.15745837282015,1.0818647911728063,0.0,0.0,100.0,0.0,0.2810157934843061,11.007015819708919
ontology,4.007421150278294,0.1516673465205607,13.334705369307494,1.0259802623701961,100.0,0.0,0.0,0.0,1.9210663885996238,0.8477273547821458
the-sandbox,4.04452690166976,0.4426133244546827,15.472326377005977,1.00047139008547,0.0,100.0,0.0,0.0,0.6527209452633338,0.8109033641729821
digibyte,4.081632653061225,0.030043205499703345,13.518382494831084,0.9978107065590262,0.0,100.0,0.0,100.0,2.194893571598742,0.04903037925285481
voyager-token,4.1187384044526905,0.004849679308010122,13.377052768680244,0.9834217463012359,0.0,0.0,0.0,0.0,2.194893571598742,2.553826887908267
swissborg,4.155844155844156,0.003982984653414426,13.973299695996165,0.9587065296361793,0.0,0.0,0.0,0.0,2.194893571598742,0.6933217406752612
ankr,4.192949907235622,0.06908721464690959,13.5714180042129,0.9008196152738231,100.0,0.0,100.0,0.0,1.681900194511512,0.08501467569878866
nano,4.230055658627087,0.028304675524524935,12.994968327361041,0.8736336601699636,0.0,0.0,0.0,0.0,2.194893571598742,4.741512626688964
iotex,4.267161410018553,0.06772879958651098,16.064884515276436,0.8459175104126336,100.0,0.0,0.0,0.0,2.175432757503698,0.06411998571534643
uma,4.304267161410019,0.05009201475983804,13.352157575113505,0.8322389534372324,0.0,0.0,100.0,0.0,1.3169935645232893,9.566907630940578
fetch,4.341372912801485,0.0734808748485647,12.469181855997094,0.8135440308048335,0.0,100.0,0.0,0.0,1.4222153164654232,0.7885429490405633
neutrino-usd,4.378478664192951,0.03379278920196486,12.842023099048909,0.7440534356299034,100.0,0.0,100.0,0.0,2.1948912417095294,0.9795720920005938
golem-network-tokens,4.415584415584416,0.052410996393997863,15.167905681739516,0.7421559394450058,0.0,0.0,0.0,0.0,2.194893571598742,0.5367160248446509
kava,4.452690166975882,0.15645137756719366,11.87869017881611,0.7376926570366946,0.0,0.0,100.0,0.0,1.3726085474983367,5.834095606355146
1inch,4.4897959183673475,0.46675251251994415,14.85052206247648,0.7258913414163922,100.0,0.0,100.0,0.0,0.2638242658540981,2.910554258758205
loopring,4.526901669758813,0.06422590246784818,13.247162566688978,0.7100110505379427,0.0,0.0,100.0,0.0,2.110770596520056,0.3886327772107653
coti,4.564007421150278,0.31413934067318383,15.21588514888619,0.6958261037329397,100.0,0.0,100.0,0.0,0.9532617281731345,0.5792876997004159
wootrade,4.601113172541744,0.07858414206368665,22.37898611449838,0.6815742474825027,100.0,0.0,0.0,0.0,0.3818144417312721,0.9468599599776669
husd,4.63821892393321,0.2819953254010675,12.952249058318564,0.665644862680495,0.0,0.0,0.0,0.0,2.194893571598742,0.9998047590653565
dent,4.675324675324676,0.06347752707473393,15.874664331262247,0.6581768476638485,0.0,0.0,0.0,0.0,2.173114597392521,0.004807538512995119
wax,4.712430426716142,0.200462665902648,14.739725797280043,0.646058499269892,0.0,100.0,0.0,0.0,1.0228589486320565,0.2643862218994312
numeraire,4.749536178107607,0.19257789948976906,14.139600961829409,0.6337340027585631,0.0,0.0,100.0,0.0,2.040136326987503,44.941555803146066
polymath-network,4.786641929499073,0.376970182923416,15.937978830489381,0.6341106170410488,0.0,0.0,0.0,0.0,1.3716524385776363,0.7337894639790112
swipe,4.823747680890539,0.1594930116236043,14.14474289098275,0.6158389236134498,100.0,0.0,100.0,0.0,1.4410973579596382,2.3769471086660734
reserve-rights,4.8608534322820045,0.056494291690340065,13.525941882926123,0.6096802732724546,0.0,0.0,100.0,0.0,0.28875632804460827,0.033503943945173
ocean-protocol,4.935064935064935,0.050259938850185315,13.47249010130164,0.5905017299405472,0.0,0.0,100.0,0.0,2.1948935715909146,0.6965305328910049
fei-protocol,4.972170686456401,0.07798849904946535,12.997086151866428,0.5889399111008514,0.0,0.0,100.0,0.0,2.189121404446707,1.0021567551533976
ergo,5.009276437847867,0.008677869911503613,11.342473492064896,0.580405944984118,0.0,0.0,0.0,100.0,1.989557858937883,13.111819286524659
lisk,5.046382189239333,0.041529643480889604,13.824338275800349,0.5661291777224298,0.0,0.0,0.0,0.0,1.9536215595734157,3.1762222102123197
gnosis-gno,5.083487940630798,0.01152684441916926,14.036032575632593,0.5546881700707209,0.0,0.0,100.0,0.0,0.33015117959048373,266.61303866961583
skale-network,5.120593692022264,0.04650152214709405,13.333469864303733,0.5462265276359544,0.0,0.0,0.0,0.0,0.6225185103147615,0.3256311119158802
alpha-finance-lab,5.194805194805196,0.0396711483860258,14.159873726594977,0.5338311621247961,100.0,0.0,100.0,0.0,0.8917887303085055,0.9501118739032423
storj,5.231910946196661,0.06034539775428945,14.289498947647484,0.5343099898492664,0.0,0.0,0.0,0.0,1.6531262303391183,1.2071321534289596
nervos-network,5.2690166975881265,0.03240164927187943,13.407033373809531,0.5204246306570751,0.0,0.0,0.0,0.0,1.816717671632155,0.013421756756778744
livepeer,5.306122448979592,0.023911384053968872,13.27857198372824,0.5182977931689099,0.0,0.0,0.0,0.0,2.0321957243711175,17.70997932368997
aelf,5.343228200371058,0.14829971850200876,12.36409412266544,0.5110849539082838,100.0,0.0,0.0,0.0,1.3580007758418986,0.6788298367159787
singularitynet,5.417439703153989,0.01754121827248898,12.091894439998502,0.49378418964691767,0.0,0.0,0.0,0.0,2.194893571598742,0.3570977858230319
